Mesocosm,Organism,Length_mm,Treatment,Drymass_mg,Drymass_g
E2,Aeshna.cyanea,3.853,7,0.120783798,0.000120784
B3,Aeshna.cyanea,21.195,6,9.006733424,0.009006733
E2,Aeshna.cyanea,18.073,7,6.019390052,0.00601939
E2,Aeshna.cyanea,23.294,7,11.43623954,0.01143624
A7,Aeshna.cyanea,16.931,0,5.103419955,0.00510342
A7,Aeshna.cyanea,25.044,0,13.73550503,0.013735505
F8,Aeshna.cyanea,5.545,2,0.303284356,0.000303284
B12,Aeshna.cyanea,25.638,0,14.5744101,0.01457441
C10,Aeshna.cyanea,26.692,4,16.13767,0.01613767
D10,Asellus.aquaticus,13.042,0,10.48535646,0.010485356
E9,Asellus.aquaticus,10.631,2,5.739697579,0.005739698
D9,Asellus.aquaticus,5.215,6,0.703095347,0.000703095
D10,Asellus.aquaticus,9.888,0,4.635837918,0.004635838
H10,Ceratopogonidae,4.074,0,0.087490695,8.74907E-05
E1,Ceratopogonidae,5.432,4,0.179756054,0.000179756
E1,Ceratopogonidae,5.634,4,0.196958079,0.000196958
E1,Ceratopogonidae,5.262,4,0.166004479,0.000166004
G5,Ceratopogonidae,7.525,3,0.406419955,0.00040642
A9,Ceratopogonidae,5.334,2,0.171748491,0.000171748
H10,Ceratopogonidae,3.781,0,0.072581971,7.2582E-05
E1,Ceratopogonidae,5.649,4,0.198273236,0.000198273
H10,Ceratopogonidae,8.417,0,0.537957583,0.000537958
E1,Ceratopogonidae,4.724,4,0.126729259,0.000126729
E1,Ceratopogonidae,5.366,4,0.174339127,0.000174339
E1,Ceratopogonidae,5.177,4,0.159373786,0.000159374
E1,Ceratopogonidae,5.2,4,0.161151968,0.000161152
G8,Ceratopogonidae,2.87,0,0.036404715,3.64047E-05
A7,Ceratopogonidae,5.628,0,0.196433488,0.000196433
E1,Ceratopogonidae,5.813,4,0.212996885,0.000212997
E1,Ceratopogonidae,5.32,4,0.170622405,0.000170622
G11,Ceratopogonidae,12.344,5,1.402792367,0.001402792
E1,Ceratopogonidae,5.568,4,0.191233691,0.000191234
G8,Ceratopogonidae,2.667,0,0.030298062,3.02981E-05
E1,Ceratopogonidae,5.613,4,0.195125682,0.000195126
