Mesocosm,Dosing,Biocide,Temperature,Treatment,Organism
A10,Pre,Urban,0,U,Copepods
A10,Pre,Urban,0,U,Copepods
A10,Pre,Urban,0,U,Copepods
A10,Pre,Urban,0,U,Copepods
A10,Pre,Urban,0,U,Copepods
A10,Pre,Urban,0,U,Copepods
A10,Pre,Urban,0,U,Copepods
A10,Pre,Urban,0,U,Copepods
A10,Pre,Urban,0,U,Copepods
A10,Pre,Urban,0,U,Copepods
A10,Pre,Urban,0,U,Copepods
A10,Pre,Urban,0,U,Copepods
A10,Pre,Urban,0,U,Copepods
A10,Pre,Urban,0,U,Copepods
A10,Pre,Urban,0,U,Copepods
A10,Pre,Urban,0,U,Copepods
A10,Pre,Urban,0,U,Copepods
A10,Pre,Urban,0,U,Copepods
A10,Pre,Urban,0,U,Copepods
A10,Pre,Urban,0,U,Copepods
A10,Pre,Urban,0,U,Copepods
A10,Pre,Urban,0,U,Copepods
A10,Pre,Urban,0,U,Naupli
A10,Pre,Urban,0,U,Naupli
A10,Pre,Urban,0,U,Naupli
A10,Pre,Urban,0,U,Naupli
A10,Pre,Urban,0,U,Naupli
A10,Pre,Urban,0,U,Naupli
A10,Pre,Urban,0,U,Naupli
A10,Pre,Urban,0,U,Naupli
A10,Pre,Urban,0,U,Naupli
A10,Pre,Urban,0,U,Asplanchna
A10,Pre,Urban,0,U,Naupli
A10,Pre,Urban,0,U,Asplanchna
A10,Pre,Urban,0,U,Naupli
A10,Pre,Urban,0,U,Asplanchna
A10,Pre,Urban,0,U,Naupli
A10,Pre,Urban,0,U,Asplanchna
A10,Pre,Urban,0,U,Asplanchna
A10,Pre,Urban,0,U,Naupli
A10,Pre,Urban,0,U,Naupli
A10,Pre,Urban,0,U,Naupli
A10,Pre,Urban,0,U,Naupli
A10,Pre,Urban,0,U,Naupli
A10,Pre,Urban,0,U,Naupli
A10,Pre,Urban,0,U,Naupli
A10,Pre,Urban,0,U,Naupli
A10,Pre,Urban,0,U,Naupli
A10,Pre,Urban,0,U,Naupli
A10,Pre,Urban,0,U,Naupli
A10,Pre,Urban,0,U,Naupli
A10,Pre,Urban,0,U,Naupli
A10,Pre,Urban,0,U,Naupli
A10,Pre,Urban,0,U,Naupli
A10,Pre,Urban,0,U,Keratella_quadrata
A10,Pre,Urban,0,U,Naupli
A10,Pre,Urban,0,U,Naupli
A10,Pre,Urban,0,U,Naupli
A10,Pre,Urban,0,U,Naupli
A10,Pre,Urban,0,U,Naupli
A10,Pre,Urban,0,U,Naupli
A10,Pre,Urban,0,U,Naupli
A10,Pre,Urban,0,U,Naupli
A10,Pre,Urban,0,U,Naupli
A10,Pre,Urban,0,U,Naupli
A10,Pre,Urban,0,U,Naupli
A10,Pre,Urban,0,U,Naupli
A10,Pre,Urban,0,U,Naupli
A10,Pre,Urban,0,U,Naupli
A10,Pre,Urban,0,U,Naupli
A10,Pre,Urban,0,U,Naupli
A10,Pre,Urban,0,U,Naupli
A10,Pre,Urban,0,U,Naupli
A10,Pre,Urban,0,U,Naupli
A10,Pre,Urban,0,U,Naupli
A10,Pre,Urban,0,U,Naupli
A10,Pre,Urban,0,U,Naupli
A10,Legacy,Urban,0,U,Copepods
A10,Legacy,Urban,0,U,Naupli
A10,Legacy,Urban,0,U,Copepods
A10,Legacy,Urban,0,U,Copepods
A10,Legacy,Urban,0,U,Copepods
A10,Legacy,Urban,0,U,Copepods
A10,Legacy,Urban,0,U,Copepods
A10,Legacy,Urban,0,U,Copepods
A10,Legacy,Urban,0,U,Copepods
A10,Legacy,Urban,0,U,Copepods
A10,Legacy,Urban,0,U,Copepods
A10,Legacy,Urban,0,U,Copepods
A10,Legacy,Urban,0,U,Naupli
A10,Legacy,Urban,0,U,Copepods
A10,Legacy,Urban,0,U,Naupli
A10,Legacy,Urban,0,U,Copepods
A10,Legacy,Urban,0,U,Naupli
A10,Legacy,Urban,0,U,Naupli
A10,Legacy,Urban,0,U,Anomopoda
A10,Legacy,Urban,0,U,Copepods
A10,Legacy,Urban,0,U,Copepods
A10,Legacy,Urban,0,U,Naupli
A10,Legacy,Urban,0,U,Ostracods
A10,Legacy,Urban,0,U,Naupli
A10,Legacy,Urban,0,U,Copepods
A10,Legacy,Urban,0,U,Copepods
A10,Legacy,Urban,0,U,Naupli
A10,Legacy,Urban,0,U,Naupli
A10,Legacy,Urban,0,U,Copepods
A10,Legacy,Urban,0,U,Naupli
A10,Legacy,Urban,0,U,Lepadella
A10,Legacy,Urban,0,U,Copepods
A10,Legacy,Urban,0,U,Copepods
A10,Legacy,Urban,0,U,Naupli
A10,Legacy,Urban,0,U,Asplanchna
A10,Legacy,Urban,0,U,Copepods
A10,Legacy,Urban,0,U,Copepods
A10,Legacy,Urban,0,U,Copepods
A10,Legacy,Urban,0,U,Naupli
A10,Legacy,Urban,0,U,Copepods
A10,Legacy,Urban,0,U,Copepods
A10,Legacy,Urban,0,U,Asplanchna
A10,Legacy,Urban,0,U,Naupli
A10,Legacy,Urban,0,U,Keratella_quadrata
A10,Legacy,Urban,0,U,Naupli
A10,Legacy,Urban,0,U,Naupli
A10,Legacy,Urban,0,U,Ostracods
A10,Legacy,Urban,0,U,Ostracods
A10,Legacy,Urban,0,U,Naupli
A10,Legacy,Urban,0,U,Naupli
A10,Legacy,Urban,0,U,Naupli
A10,Legacy,Urban,0,U,Naupli
A10,Legacy,Urban,0,U,Naupli
A10,Legacy,Urban,0,U,Naupli
A10,Legacy,Urban,0,U,Naupli
A10,Legacy,Urban,0,U,Ostracods
A10,Legacy,Urban,0,U,Ostracods
A10,Legacy,Urban,0,U,Naupli
A10,Legacy,Urban,0,U,Ostracods
A10,Legacy,Urban,0,U,Ostracods
A10,Legacy,Urban,0,U,Ostracods
A10,Legacy,Urban,0,U,Ostracods
A10,Legacy,Urban,0,U,Ostracods
A10,Legacy,Urban,0,U,Naupli
A10,Legacy,Urban,0,U,Naupli
A10,Legacy,Urban,0,U,Naupli
A10,Legacy,Urban,0,U,Asplanchna
A10,Legacy,Urban,0,U,Naupli
A10,Legacy,Urban,0,U,Asplanchna
A10,Legacy,Urban,0,U,Naupli
A10,Legacy,Urban,0,U,Ostracods
A10,Legacy,Urban,0,U,Naupli
A10,Legacy,Urban,0,U,Asplanchna
A10,Legacy,Urban,0,U,Naupli
A10,Legacy,Urban,0,U,Naupli
A10,Legacy,Urban,0,U,Ostracods
A10,Legacy,Urban,0,U,Ostracods
A10,Legacy,Urban,0,U,Ostracods
A10,Legacy,Urban,0,U,Naupli
A10,Legacy,Urban,0,U,Naupli
A10,Legacy,Urban,0,U,Naupli
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Asplanchna
A11,Pre,Urban & Rural,4,4UR,Copepods
A11,Pre,Urban & Rural,4,4UR,Keratella_quadrata
A11,Pre,Urban & Rural,4,4UR,Asplanchna
A11,Pre,Urban & Rural,4,4UR,Keratella_quadrata
A11,Pre,Urban & Rural,4,4UR,Keratella_quadrata
A11,Pre,Urban & Rural,4,4UR,Asplanchna
A11,Pre,Urban & Rural,4,4UR,Keratella_quadrata
A11,Pre,Urban & Rural,4,4UR,Keratella_quadrata
A11,Pre,Urban & Rural,4,4UR,Keratella_quadrata
A11,Pre,Urban & Rural,4,4UR,Keratella_quadrata
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Keratella_quadrata
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Keratella_quadrata
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Keratella_quadrata
A11,Pre,Urban & Rural,4,4UR,Keratella_quadrata
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Ostracods
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Keratella_quadrata
A11,Pre,Urban & Rural,4,4UR,Keratella_quadrata
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Ostracods
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Asplanchna
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Keratella_quadrata
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Keratella_quadrata
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Keratella_quadrata
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Keratella_quadrata
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Ostracods
A11,Pre,Urban & Rural,4,4UR,Keratella_quadrata
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Keratella_quadrata
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Keratella_quadrata
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Keratella_quadrata
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Ostracods
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Keratella_quadrata
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Keratella_quadrata
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Keratella_quadrata
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Keratella_quadrata
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Ostracods
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Ostracods
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Naupli
A11,Pre,Urban & Rural,4,4UR,Ostracods
A11,Pre,Urban & Rural,4,4UR,Ostracods
A11,Legacy,Urban & Rural,4,4UR,Keratella_quadrata
A11,Legacy,Urban & Rural,4,4UR,Keratella_quadrata
A11,Legacy,Urban & Rural,4,4UR,Copepods
A11,Legacy,Urban & Rural,4,4UR,Naupli
A11,Legacy,Urban & Rural,4,4UR,Naupli
A11,Legacy,Urban & Rural,4,4UR,Copepods
A11,Legacy,Urban & Rural,4,4UR,Keratella_quadrata
A11,Legacy,Urban & Rural,4,4UR,Keratella_quadrata
A11,Legacy,Urban & Rural,4,4UR,Copepods
A11,Legacy,Urban & Rural,4,4UR,Copepods
A11,Legacy,Urban & Rural,4,4UR,Copepods
A11,Legacy,Urban & Rural,4,4UR,Keratella_quadrata
A11,Legacy,Urban & Rural,4,4UR,Keratella_quadrata
A11,Legacy,Urban & Rural,4,4UR,Copepods
A11,Legacy,Urban & Rural,4,4UR,Keratella_quadrata
A11,Legacy,Urban & Rural,4,4UR,Keratella_quadrata
A11,Legacy,Urban & Rural,4,4UR,Keratella_quadrata
A11,Legacy,Urban & Rural,4,4UR,Keratella_quadrata
A11,Legacy,Urban & Rural,4,4UR,Keratella_quadrata
A11,Legacy,Urban & Rural,4,4UR,Keratella_quadrata
A11,Legacy,Urban & Rural,4,4UR,Keratella_quadrata
A11,Legacy,Urban & Rural,4,4UR,Naupli
A11,Legacy,Urban & Rural,4,4UR,Keratella_quadrata
A11,Legacy,Urban & Rural,4,4UR,Keratella_quadrata
A11,Legacy,Urban & Rural,4,4UR,Keratella_quadrata
A11,Legacy,Urban & Rural,4,4UR,Keratella_quadrata
A11,Legacy,Urban & Rural,4,4UR,Copepods
A11,Legacy,Urban & Rural,4,4UR,Copepods
A11,Legacy,Urban & Rural,4,4UR,Keratella_quadrata
A11,Legacy,Urban & Rural,4,4UR,Keratella_quadrata
