Mesocosm,Season,Year,Treatment,Organism
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
A1,Spring,2019,4,Copepods
