Mesocosm,Treatment,Total_biomass_mg,Biomass_mg_L,Biomass_g_L,biomass_g_meso_pel
A1,4c,0.01112386,2.8968385416666665e-4,2.8968385416666664e-7,5.793677083333333e-4
A11,4UR,0.951377952,0.024775468,2.4775467499999998e-5,0.049550935
A2,Control,0.041110204,0.001070578,1.0705782291666667e-6,0.002141156
A3,5c,0.027572362,7.180302604166667e-4,7.180302604166666e-7,0.001436061
A5,1c,0.080591205,0.002098729,2.098729296875e-6,0.004197459
A6,4c,0.006740956,1.7554572916666665e-4,1.7554572916666665e-7,3.510914583333333e-4
A7,Control,0.101299076,0.002637997,2.6379967708333334e-6,0.005275994
A9,2c,0.11111986500000001,0.002893746,2.8937464843750005e-6,0.005787493
B1,1c,0.006594598,1.7173432291666668e-4,1.7173432291666668e-7,3.4346864583333336e-4
B12,Control,0.235437276,0.006131179,6.1311790625000005e-6,0.012262358125000001
B3,6c,0.031115822999999997,8.10307890625e-4,8.10307890625e-7,0.001620616
B6,7c,1.100192814,0.028650855,2.865085453125e-5,0.057301709
B7,3c,0.148688448,0.003872095,3.872095e-6,0.00774419
C10,4c,0.063520552,0.001654181,1.654181041666667e-6,0.003308362
C3,4c,0.131576301,0.003426466,3.4264661718750002e-06,0.006852932
C8,4UR,0.094032478,0.002448762,2.448762447916667e-6,0.004897525
D11,4UR,0.180789962,0.004708072,4.708071927083333e-6,0.009416144
D12,4c,0.034525141,8.990922135416668e-4,8.990922135416668e-7,0.001798184
D3,6c,0.014322428,3.7297989583333336e-4,3.7297989583333334e-7,7.459597916666667e-4
D4,2c,0.00607873,1.5830026041666666e-4,1.5830026041666668e-7,3.1660052083333333e-4
D7,4UR,0.517648534,0.013480430572916667,1.3480430572916668e-5,0.026960861145833334
D9,6c,0.568069458,0.014793475,1.479347546875e-5,0.029586951
E10,2c,0.082222952,0.002141223,2.1412227083333334e-6,0.004282445
E11,3c,0.16715616,0.004353025,4.353025e-6,0.00870605
E2,7c,0.556971621,0.014504469,1.4504469296874999e-5,0.029008939
E5,3c,0.006950109,1.80992421875e-4,1.8099242187500002e-7,3.6198484375e-4
E9,2c,0.220226074,0.005735054,5.735054010416667e-6,0.011470108020833333
F2,4UR,0.162277007,0.004225964,4.225963723958334e-6,0.008451927
F6,5c,0.020350673,5.299654427083334e-4,5.299654427083334e-7,0.001059931
G1,2c,0.127999907,0.003333331,3.3333309114583337e-6,0.006666662
G10,2c,0.296950962,0.007733098,7.73309796875e-6,0.015466196
G11,5c,0.060954941,0.001587368,1.5873682552083334e-6,0.003174737
G12,4UR,1.176972312,0.030650321,3.0650320625e-5,0.061300641249999996
G2,1c,0.105827551,0.002755926,2.7559258072916668e-6,0.005511852
G3,2c,0.053739357,0.001399462,1.3994624218750001e-6,0.002798925
G4,4UR,1.8856305800000002,0.049104963020833337,4.9104963020833335e-5,0.098209926
G5,3c,0.153729198,0.004003365,4.00336453125e-6,0.008006729
G8,Control,0.00288657,7.517109375000001e-5,7.517109375e-8,1.5034218750000001e-4
G9,4UR,0.157983285,0.004114148,4.1141480468750004e-06,0.008228296
H1,Control,0.094774409,0.002468084,2.4680835677083338e-6,0.004936167
H10,Control,0.04818695,0.001254868,1.2548684895833334e-6,0.002509737
H4,4c,0.162391636,0.004228949,4.228948854166667e-6,0.008457898
H9,1c,0.116498304,0.00303381,3.03381e-6,0.00606762
